token@token lego-rl % scripts/run_on_hub.sh robot/sysid_collision.py
Searching for any hub with Pybricks service...
battery mV: 7514
gains: 10.71 0.8700001 0.43 0.3 tau: 30 slew: 150 trig: rate> 80 or stall< 0.5
targets deg/s: (300, 450, 600, 750) x 3 reps, ascending
S,seg,v_target,battery_mV,hit,fell,v_at_trig,peak_rate,peak_pitch_x10,recov_sigma_x100,trig_eff
D,i,pitch_x100,rate_x10,yaw_x10,wl,wr,duty_x10,vref
D , 54 , 85 , 499 , -55 , 668 , 672 , 1000 , 450
D , 55 , 181 , 649 , 31 , 679 , 684 , 1000 , 450
D , 56 , 249 , 732 , 89 , 686 , 692 , 1000 , 450
D , 57 , 288 , 704 , 6 , 694 , 690 , 1000 , 450
D , 58 , 288 , 565 , -40 , 693 , 692 , 1000 , 450
D , 59 , 255 , 358 , -1 , 691 , 688 , 1000 , 450
D , 60 , 204 , 146 , -1 , 696 , 692 , 1000 , 450
D , 61 , 146 , -46 , -3 , 693 , 685 , 833 , 450
D , 62 , 91 , -194 , 92 , 700 , 686 , 657 , 450
D , 63 , 51 , -222 , -538 , 707 , 682 , 594 , 450
D , 64 , 99 , -24 , -832 , 702 , 660 , 778 , 450
D , 65 , 133 , 10 , -494 , 705 , 647 , 830 , 450
D , 66 , 132 , -3 , -753 , 723 , 640 , 808 , 450
D , 67 , 132 , 8 , -721 , 723 , 640 , 844 , 450
D , 68 , 134 , 11 , -469 , 726 , 630 , 838 , 450
D , 69 , 129 , 0 , -263 , 740 , 621 , 830 , 450
D , 70 , 150 , 116 , -117 , 749 , 612 , 953 , 450
D , 71 , 260 , 496 , 81 , 743 , 614 , 1000 , 450
D , 72 , 378 , 746 , 19 , 745 , 611 , 1000 , 450
D , 73 , 474 , 901 , -810 , 761 , 624 , 1000 , 450
D , 74 , 580 , 1062 , -754 , 785 , 641 , 1000 , 450
D , 75 , 699 , 1211 , -285 , 833 , 647 , 1000 , 450
D , 76 , 789 , 1310 , 74 , 857 , 664 , 1000 , 450
D , 77 , 886 , 1394 , 623 , 842 , 683 , 1000 , 450
D , 78 , 974 , 1440 , 849 , 845 , 694 , 1000 , 450
D , 79 , 1043 , 1419 , 910 , 850 , 715 , 1000 , 450
D , 80 , 1089 , 1323 , 278 , 862 , 716 , 1000 , 450
D , 81 , 1118 , 1188 , -650 , 893 , 707 , 1000 , 450
D , 82 , 1089 , 873 , -725 , 901 , 706 , 1000 , 450
D , 83 , 1022 , 489 , -228 , 857 , 716 , 1000 , 450
D , 84 , 897 , 90 , 394 , 857 , 716 , 1000 , 450
D , 85 , 757 , -367 , 814 , 855 , 756 , 1000 , 450
