Searching for any hub with Pybricks service...
battery mV: 7429
slide probe: 2s still / 8s slide / 2s still per rep, 2 reps
D,i,pitch_x100,rate_x10,acc_mm_s2
D , 420 , -75 , 131 , -1373
D , 421 , -62 , 135 , -464
D , 422 , -51 , 89 , 81
D , 423 , -44 , 55 , -280
D , 424 , -41 , 15 , -488
D , 425 , -43 , -34 , -296
D , 426 , -47 , -67 , 270
D , 427 , -56 , -95 , -306
D , 428 , -65 , -88 , -1165
D , 429 , -71 , -34 , -203
D , 430 , -76 , -66 , 134
D , 431 , -83 , -60 , -1146
D , 432 , -85 , 7 , -727
D , 433 , -85 , -12 , 172
D , 434 , -88 , -24 , -1292
D , 435 , -87 , 49 , -1086
D , 436 , -81 , 60 , 538
D , 437 , -77 , 12 , -442
D , 438 , -77 , 14 , -646
D , 439 , -75 , -12 , 854
D , 440 , -80 , -73 , 275
D , 441 , -90 , -97 , -1096
D , 442 , -96 , -41 , -256
D , 443 , -101 , -69 , 701
D , 444 , -110 , -102 , -411
D , 445 , -118 , -46 , -581
D , 446 , -123 , -64 , 562
D , 447 , -132 , -116 , -160
D , 448 , -143 , -69 , -1357
D , 449 , -144 , 7 , -55
D , 450 , -143 , 6 , 677
D , 451 , -144 , -8 , -299
D , 452 , -143 , 42 , -557
D , 453 , -134 , 91 , 885
D , 454 , -127 , 34 , 1440
D , 455 , -126 , 0 , 837
D , 456 , -125 , 40 , 222
D , 457 , -118 , 83 , 1029
D , 458 , -109 , 75 , 1496
D , 459 , -104 , 42 , 1553
D , 460 , -101 , 30 , 1213
D , 461 , -97 , 47 , 1187
D , 462 , -91 , 52 , 1438
D , 463 , -88 , 26 , 1491
D , 464 , -87 , -1 , 1318
D , 465 , -88 , -26 , 1156
D , 466 , -95 , -109 , 1201
D , 467 , -109 , -130 , 416
D , 468 , -121 , -126 , 521
D , 469 , -135 , -162 , 708
D , 470 , -154 , -214 , 658
D , 471 , -178 , -265 , 349
D , 472 , -209 , -308 , 205
D , 473 , -243 , -370 , 28
D , 474 , -279 , -373 , -765
D , 475 , -313 , -321 , -1146
D , 476 , -343 , -234 , -1182
D , 477 , -359 , -97 , -1747
D , 478 , -359 , 70 , -2125
D , 479 , -344 , 221 , -1287
D , 480 , -317 , 289 , -253
D , 481 , -285 , 280 , 69
D , 482 , -260 , 236 , -162
D , 483 , -240 , 177 , 296
D , 484 , -225 , 135 , 469
D , 485 , -214 , 102 , 363
D , 486 , -205 , 65 , 303
D , 487 , -202 , 2 , 490
D , 488 , -205 , -41 , 277
D , 489 , -210 , -67 , 16
D , 490 , -216 , -41 , -265
D , 491 , -221 , -59 , -502
D , 492 , -226 , -34 , -440
D , 493 , -231 , -45 , -418
D , 494 , -236 , -58 , -1299
D , 495 , -239 , 14 , -773
D , 496 , -236 , 28 , -112
D , 497 , -235 , 6 , -1002
D , 498 , -234 , 32 , -1093
D , 499 , -227 , 70 , -248
D , 500 , -219 , 52 , -450
D , 501 , -215 , 58 , -1665
D , 502 , -207 , 84 , -603
D , 503 , -201 , 38 , -347
D , 504 , -198 , 23 , -1618
D , 505 , -191 , 84 , -550
D , 506 , -186 , 23 , -141
D , 507 , -187 , -33 , -1373
D , 508 , -188 , 33 , -1290
D , 509 , -184 , 20 , -275
D , 510 , -186 , -42 , -1134
D , 511 , -189 , -17 , -1639
D , 512 , -188 , 21 , -1084
D , 513 , -187 , -27 , -62
D , 514 , -195 , -102 , -1263
D , 515 , -204 , -83 , -1711
D , 516 , -209 , -48 , -1192
D , 517 , -215 , -63 , -962
D , 518 , -223 , -69 , -1649
D , 519 , -228 , -36 , -1977
D , 520 , -229 , 5 , -1792
D , 521 , -228 , 11 , -1364
D , 522 , -228 , -3 , -1364
D , 523 , -229 , -17 , -1570
D , 524 , -230 , -4 , -1969
D , 525 , -230 , -7 , -1936
D , 526 , -231 , -13 , -2053
D , 527 , -233 , -23 , -2029
D , 528 , -236 , -42 , -2084
D , 529 , -242 , -67 , -2293
D , 530 , -248 , -44 , -2530
D , 531 , -251 , -13 , -2527
D , 532 , -250 , 23 , -2367
D , 533 , -247 , 43 , -2307
D , 534 , -240 , 80 , -2242
D , 535 , -231 , 93 , -1723
D , 536 , -221 , 110 , -2139
D , 537 , -204 , 205 , -2539
D , 538 , -178 , 303 , -2034
D , 539 , -144 , 379 , -1498
D , 540 , -105 , 400 , -758
D , 541 , -65 , 399 , -64
D , 542 , -28 , 271 , 481
D , 543 , -10 , 121 , 447
D , 544 , -6 , -36 , -129
D , 545 , -15 , -130 , 174
D , 546 , -31 , -178 , -239
D , 547 , -51 , -210 , -988
D , 548 , -71 , -196 , -1608
D , 549 , -86 , -125 , -2084
D , 550 , -94 , -39 , -907
D , 551 , -98 , -36 , -904
D , 552 , -101 , -39 , -1500
D , 553 , -102 , 29 , -1469
D , 554 , -96 , 58 , -801
D , 555 , -92 , 16 , -471
D , 556 , -92 , 21 , -1654
